ID, Question, Choice_A, Choice_B, Choice_C, Choice_D, Choice_E, Correct_Answer
240,The Japanese attack on Pearl Harbor resulted in all of the following EXCEPT,(A) U.S. entry into World War II.,(B) hostility toward Japanese people in the United States.,(C) women entering the workforce in large numbers in the United States.,(D) an end to segregation in the armed forces.,(E) an end to the Great Depression.,D
241,"Although Congress had not declared war, President Truman sent U.S. armed forces to aid South Korea—an action he believed the he was empowered to take based on",(A) powers granted presidents in the United Nations Charter.,(B) a joint resolution of Congress.,(C) a constitutional power of the presidency.,(D) a special U.S. treaty with South Korea.,(E) the U.S. commitment under the NATO agreement.,C
242,What major consequence occurred as a result of the break-in at the Watergate Hotel?,(A) The New York Times began publishing the Pentagon Papers.,(B) President Reagan had to discuss the diversion of money to the Contras.,(C) President Nixon resigned.,(D) The truth about the Gulf of Tonkin Incident was revealed.,"(E) The October Surprise was revealed, and Carter’s efforts to free the hostages in Iran were given new respect.",C
243,The Equal Rights Amendment (ERA) was defeated because,(A) Congress would not pass it.,(B) it was held to be unconstitutional.,(C) not enough state legislatures passed it.,(D) Betty Friedan opposed it.,(E) Richard Nixon vetoed it.,C
244,President Clinton’s position on gun control and law enforcement was reflected in his,(A) support for the Contract with America.,(B) appointment of Sandra Day O’Connor to the Supreme Court.,(C) approval of the Dayton Accords.,(D) signing of the Brady Bill.,(E) support from the National Rifle Association.,D
245,All of the following statements represent ideas expressed in the Declaration of Independence EXCEPT,(A) governments derive their power to rule from the consent of the governed.,(B) people have the right to overthrow a government that does not fulfill the will of the people.,(C) people have the unalienable right to own property.,(D) all men are created equal.,(E) George III has committed egregious acts against the colonies.,C
246,"To gain Thomas Jefferson’s support for the assumption of state debts by the national government, Alexander Hamilton agreed to",(A) modify his financial program.,(B) the placement of the capital of the United States on the Potomac River.,(C) support Jefferson’s election in 1800.,(D) help negotiate a peace treaty with England.,(E) withdraw his support for excise taxes on goods made in the United States.,B
247,The concept of “redemption” in the politics of the post–Civil War period refers to,(A) a religious awakening among Northerners in regard to the evils of racism.,(B) washing away the sins of the South’s illegal rebellion.,(C) the physical rebuilding of the infrastructure of the South following the Civil War.,(D) atoning for the fraternal violence of the Civil War.,(E) white Southerners retaking power in the South following Reconstruction.,E
248,President McKinley publicly justified U.S. annexation of the Philippines on the grounds that,(A) the United States had a responsibility to uplift the Filipinos.,(B) a plebiscite indicated Filipino preference for U.S. rule.,(C) a failure to do so would open the way for a Marxist regime.,(D) the Philippines were spoils of the Spanish-American War.,(E) America needed raw materials from the Philippines.,A
249,"The Hepburn Act, pushed through Congress by President Theodore Roosevelt, was significant in that it",(A) strengthened the Interstate Commerce Commission.,(B) created the U.S. Forest Service.,(C) empowered the Department of Agriculture to inspect meat.,(D) strengthened the Sherman Antitrust Act.,(E) made child labor illegal.,A
250,An important effect of the increase of open shops and “company unions” in the 1920s was,(A) a weakening of the agricultural sector of the economy.,(B) an increase in the purchasing power of workers.,(C) a strengthening of the Democratic Party.,(D) a weakening of the labor movement.,(E) improved working conditions.,D
251,To make America “the Great Society” was a pronouncement concerning,(A) Richard Nixon’s ideas on federalism.,(B) John F. Kennedy’s initiatives on civil rights.,(C) Gerald Ford’s fight against inflation.,(D) Lyndon B. Johnson’s plan to fight poverty.,(E) Jimmy Carter’s goals concerning education.,D
252,The presidency of Lyndon Johnson was dominated by issues involving Vietnam after he,(A) coined the phrase domino theory and sent advisers to South Vietnam.,(B) pledged to support French forces in Vietnam.,(C) signed the Geneva Accords.,(D) “Vietnamized” the war.,(E) proposed the Tonkin Gulf Resolution.,E
253,The economic condition of “stagflation” of the early 1970s can best be described as,(A) deflation and low productivity.,(B) high productivity and high prices.,(C) high inflation and high unemployment.,(D) high prices and low productivity.,(E) low prices and high productivity.,C
254,The Iran Hostage Crisis of 1979–1981,(A) reflected resentment of the U.S. support of the shah of Iran.,(B) aided Jimmy Carter’s bid for re-election in 1980.,(C) increased American prestige.,(D) heightened Cold War tensions.,(E) caused a global oil crisis.,A
255,A provision of the charter issued by the British government for the establishment of the colony of Virginia was that,(A) full rights of English citizenship would be extended to English settlers.,(B) Virginia would enjoy complete autonomy under the policy of salutary neglect.,"(C) Virginia would choose the location of its seat of government, not England.",(D) Virginia would be under the strict control of the royal governor.,"(E) Virginia would establish its own form of government, independent of the British crown.",A
256,"In response to colonial actions to protest British policies after the French and Indian War, the British government did all of the following EXCEPT",(A) repeal the Stamp Act.,(B) reaffirm its right to legislate for the colonies.,(C) sign a nonimportation agreement.,(D) order the quartering of troops in the colonies.,(E) pass the Intolerable Acts.,C
257,Who most strongly opposed colonization of free blacks in Liberia in the 19th century?,(A) Henry Clay,(B) Daniel Webster,(C) James Monroe,(D) Marcus Garvey,(E) David Walker,D
258,"In the years between the Civil War and 1900, the South",(A) developed an extensive railroad network.,(B) remained primarily agricultural with a few pockets of industry.,(C) became economically independent from the rest of the United States.,(D) encouraged higher tariffs to prevent foreign cotton from coming into the country.,(E) experienced the same economic progress as did the North.,B
259,"In the early 20th century, the Progressive movement advocated reform in all of the following areas EXCEPT",(A) the power of trusts.,(B) conditions for factory workers.,(C) political corruption.,(D) segregation of the races in public facilities.,(E) problems of democratic participation.,D
260,"To protect citizens from bank failures, Franklin D. Roosevelt and Congress established the",(A) National Industrial Recovery Act (NIRA).,(B) Securities and Exchange Commission (SEC).,(C) Federal Deposit Insurance Corporation (FDIC).,(D) Social Security Administration.,(E) Federal Reserve System.,C
261,Which of the following statements is true of the Gulf of Tonkin Resolution of 1964?,(A) It passed both the Senate and the House without any dissenting votes.,(B) It contributed to President Johnson’s slim margin of victory in the 1964 election.,(C) It was a declaration of war that Congress passed after much debate.,"(D) In retrospect, it is clear that the resolution was justified by clear evidence of North Vietnamese aggression.",(E) It gave President Johnson a “blank check” to retaliate against the North Vietnamese.,E
262,"The Weathermen, who were in the news in the 1960s and early 1970s, were",(A) radical black nationalists who believed in power to the black people.,(B) radical terrorists who opposed the Vietnam War.,(C) environmental activists who opposed the pollution caused by automobiles.,(D) a rock-and-roll group who were precursors to punk rock and heavy metal groups.,(E) a commune that called for love and peace and living in the outdoors.,B
263,Key components of Henry Clay’s American System included,(A) a strict interpretation of the Constitution and rapid western expansion.,(B) a high protective tariff and internal improvements.,(C) the development of Southern industry and Northern agriculture.,(D) the elimination of export taxes and of the international slave trade.,(E) exclusive government ownership of canals and the national bank.,B
264,Which of the following is NOT true of John Quincy Adams?,(A) He was the only president to serve in the House of Representatives after he left the presidency.,(B) He was an ardent opponent of the Gag Rule.,(C) He supported scientific research.,(D) He was the only son of a president to attain the presidency himself.,(E) He argued for the freedom of the slaves on the ship Amistad.,D
265,"In his debates against Senator Stephen Douglas in 1858, Abraham Lincoln held the position that slavery",(A) should be abolished in the whole United States.,(B) should be abolished immediately in the South.,(C) should be abolished in California.,(D) should not spread to the western territories.,(E) was not an important question.,D
266,President Lincoln’s ideas about Reconstruction were based on the theory that the Confederate states,(A) should be treated as conquered territories.,(B) could be admitted to the Union only by Congress.,(C) had never actually left the Union.,(D) must grant full equality to all people.,(E) should be barred indefinitely from being part of the United States.,C
267,"In his futuristic novel, Looking Backward 2000–1887, published in 1888, Edward Bellamy",(A) described a world in which the United States exercised unrivaled naval power.,(B) scolded the South for enacting Jim Crow laws and tolerating the lynching of African Americans.,(C) imagined a world in which socialism and harmony replaced the antagonisms of the Gilded Age.,(D) discussed the potential benefits of having a single tax on unimproved lands.,(E) warned readers about the dangers of totalitarian regimes.,C
268,"The “Turner Thesis,” put forward by historian Frederick Jackson Turner in the 1890s, held that",(A) Darwin’s ideas about the natural world could be applied to human communities.,"(B) America, if it hoped to compete with European powers, must build up its navy and acquire overseas colonies.",(C) it was the “manifest destiny” of the United States to expand from the Atlantic to the Pacific Ocean.,"(D) the frontier experience had produced a practical, self-reliant people who valued individualism and freedom.",(E) slavery had developed an excessively negative reputation and that African Americans had been better off under slavery than living in the Jim Crow South.,D
269,What was the main goal of the Truman Doctrine?,(A) Elimination of communism,(B) Implementation of the “Domino Theory”,(C) Containment of communism,(D) Reconstruction of Western Europe after World War II,(E) Assistance to British colonies in Africa,C
270,The Sarbanes-Oxley Act,(A) allowed law enforcement authorities to check personal records without a search warrant.,(B) forbade U.S. military personnel from torturing prisoners at Abu Ghraib.,(C) allowed for the construction of a fence along the U.S.-Mexico border.,(D) created the Troubled Asset Relief Program.,(E) established strict procedures to prevent accounting fraud.,E
271,All of the following influenced the hippies of the 1960s EXCEPT,(A) Gregory Corso’s poetry.,(B) Rachel Carson’s warning about the environment.,(C) Timothy Leary’s ideas on drugs.,(D) Allen Ginsberg’s poetry and ideas.,(E) Phyllis Schlafly’s ideas on women.,E
272,Which of the following was a result of George H. W. Bush’s reversal of his pledge not to raise taxes?,(A) The country went into severe recession.,(B) He said the country had finally “kicked the Vietnam syndrome.”,(C) Inflation became the main problem of the 1990s.,(D) He lost the support of the core of Republican loyalists.,(E) He was able to finance the invasion of Panama without endangering the economy.,D
273,Which of the following statements about the Louisiana Purchase is correct?,(A) It expelled the British from North America.,(B) It contributed to peace with the Native Americans of the Ohio Valley.,(C) It demonstrated President Jefferson’s willingness to negotiate with the King of Spain.,(D) It doubled the size of the United States.,(E) It was an unconstitutional act committed by President Jefferson and Congress.,D
274,"The term manifest destiny, used in 1846 by newspaper editor John L. O’Sullivan, could best be described as a policy that would",(A) bring democracy to the West and expand the territory of the United States.,(B) remove the French from Oregon.,(C) increase immigration from Europe.,(D) push the Spanish out of Texas.,(E) protect Indian culture.,A
275,All of the following statements about African American troops in the Civil War are true EXCEPT,(A) they fought on the front lines in battles.,(B) they received pay equal to that of the white troops throughout the war.,(C) they were always under the command of white officers.,"(D) many of them were runaway slaves, who were called “contraband” by Lincoln.",(E) they often served as workers in the rear of battles.,B
276,The event that brought the issue of civil service reform to the fore during the Gilded Age was,(A) the Credit Mobilier scandal.,(B) a report in McClure’s magazine chronicling the extent of the patronage system.,(C) a series of pointed cartoons by Thomas Nast.,(D) the assassination of President Garfield.,(E) the large number of civil servants fired by Democratic President Cleveland when he assumed office.,D
277,Willa Cather’s My Ántonia and Mark Twain’s The Adventures of Tom Sawyer are similar in that both,(A) showed the effects of slavery and racism on American society.,(B) focused on the difficulties of immigrants in adjusting to American life.,(C) presented the culture and customs of particular regions of the United States.,(D) failed to gain popular acclaim in their authors’ lifetimes.,(E) alerted Americans to the wretched conditions in the factories.,C
278,The event that immediately precipitated the Spanish-American War was,(A) the nationalization of U.S. sugar plantations by Spain.,(B) the murder of Cuban nationalist leader José Marti.,(C) the sinking of the U.S. battleship Maine in the Havana harbor.,(D) a dispute involving the border between Mexico and the United States.,(E) Spain’s refusal to allow the United States to build a canal through Panama.,C
279,The Agricultural Adjustment Act of 1933 was an attempt to increase farm prices by,(A) restricting farm production through voluntary cooperation by farmers.,(B) increasing farm production to meet growing demand.,(C) reducing farm production by paying farmers to plant fewer crops.,(D) lowering the tariffs to increase the sale of agricultural products abroad.,(E) teaching farmers industrial skills so that they could leave the land.,C
280,Which of the following is TRUE about both the American Revolution and the Vietnam War?,(A) The United States was victorious in both wars.,(B) Both were essentially wars against domination by an overseas power.,(C) Both were civil wars between North and South.,(D) Both the United States in 1779 and South Vietnam in 1972 received military support from France.,(E) Both were traditional wars fought by traditional armies.,B
281,Which statement explains why gay rights organizations opposed the policy adopted during the Clinton administration regarding gays in the military?,(A) It prohibited gays from serving in the military.,(B) It prohibited gays from serving in combat.,(C) It provided for segregation of gay troops.,(D) Its frank acceptance of gay soldiers endangered public support.,(E) It did not protect openly gay soldiers from discrimination.,E
282,Bacon’s Rebellion of 1676 was significant in that it,(A) led the colonies to recruit a greater number of indentured servants.,(B) caused the death of Governor Berkeley of Virginia.,(C) contributed to an increase in Indian uprisings in Virginia.,(D) created fear of additional rebellions by former indentured servants.,(E) was the largest slave rebellion in U.S. history.,D
283,Peter Zenger’s trial in 1734 was significant in that it,(A) laid the groundwork for freedom of the press in the future United States.,(B) exposed corruption in the Church of England.,(C) led to reforms within the British government concerning rule of the colonies.,(D) involved a jury composed of British officials.,(E) resulted in the execution of Peter Zenger.,A
284,In which of the following pairs of events did the first cause the second?,(A) John Quincy Adams signed the Specie Circular—the United States entered a depression.,(B) John C. Calhoun wrote the Nullification Proclamation—Virginia joined with Kentucky against the Sedition Act.,(C) Daniel Webster opposed the Bank of the United States—Andrew Jackson issued the Specie Circular.,(D) Tariff of 1828 passed—Martin Van Buren elected president.,(E) Andrew Jackson vetoed the Bank Re-charter Bill—the Whig Party formed.,E
285,Sherman’s March to the Sea during the Civil War is significant because,(A) it was the first major victory by Union forces.,(B) it was a major victory for African American troops.,(C) it was the turning point of the war.,(D) it was the final battle of the war.,(E) it was the first example of total war.,E
286,"During Presidential Reconstruction, congressional Republicans opposed Andrew Johnson’s policy of",(A) letting former members of the Confederacy run the new postwar state governments.,(B) guaranteeing suffrage to African Americans.,(C) requiring each former Confederate state to ratify the 14th Amendment.,(D) banning former members of the Confederacy from voting and holding office.,(E) granting each freedman 40 acres and a mule.,A
287,The Dawes Severalty Act of 1887 was passed by Congress in response to pressure from,"(A) large mining interests, which wanted to exploit Native American reservation lands.","(B) Native Americans, who thought the plan for gradual assimilation offered their best hope for survival.","(C) the U.S. military, which was seeking revenge for “Custer’s Last Stand.”",(D) reform-minded whites trying to solve the “Indian problem” by promoting Native Americans’s assimilation.,"(E) buffalo hunters, who wanted unlimited access to buffalo herds.",D
288,The 1919 Treaty of Versailles ending World War I,(A) did not create a lasting peace as envisioned by Woodrow Wilson in his Fourteen Points.,(B) gave the United States temporary control of a portion of Germany.,(C) was endorsed by the United States because it attempted to contain communism.,(D) led to the immediate emergence of the United States as a world power.,(E) did not include any ideas put forward by Woodrow Wilson in his Fourteen Points.,A
289,"The Red Scare of 1919–1920 was, in part, a response to the",(A) labor unrest that produced a nationwide strike wave.,(B) rise of fascism in Europe.,(C) teaching of Charles Darwin’s theory of evolution.,(D) rebirth of the Ku Klux Klan.,(E) temperance movement and its success in establishing Prohibition.,A
290,"Because of his belief that the New Deal had not accomplished its goals, Francis Townsend proposed a plan to",(A) use nonviolent civil disobedience to oppose racial segregation.,(B) send aid to antifascist groups in Europe.,(C) force all “subversive” groups to register with the government.,(D) ban women from working outside the home until all able-bodied men had work.,(E) provide a monthly stipend to everyone in the United States over 60 years old.,E
291,Which of the following was the most important factor in John F. Kennedy’s victory over Richard Nixon in 1960?,(A) Americans’ disappointment with the results of the Korean War.,(B) Kennedy’s superior showing in a televised debate.,(C) Nixon’s World War II record.,(D) The Watergate investigation.,(E) Kennedy’s record as governor of Massachusetts.,B
292,Portugal led the way in exploration in the 1400s because of,(A) its inland location requiring it to find an overland route to the Indies.,(B) government stability and the invention of the caravel.,(C) the signing of the Treaty of Tordesillas with Spain.,(D) the marriage of Ferdinand and Isabella.,(E) the success of Columbus’s voyage to the New World.,B
293,"An important achievement of George Washington’s first term of office, 1789–1793, was the",(A) establishment of a cabinet to act as advisers.,(B) purchase of Florida from Spain.,(C) suppression of a rebellion of Massachusetts farmers.,(D) passage of the Alien and Sedition Act.,(E) formation of a political party to oppose Alexander Hamilton.,A
294,Which statement most closely reflects William Lloyd Garrison’s view of slavery?,(A) The only solution to the slavery question is a federal slave code.,(B) Slavery must immediately be abolished in all areas of the United States.,(C) There should be no extension of slavery to the territories in the West.,(D) The question of slavery should be settled by popular sovereignty.,(E) The question of slavery in the territories of the West should be decided in the future.,B
295,"In the Dred Scott case of 1857, the Supreme Court included which idea as part of its decision?",(A) Separate but equal facilities are constitutional.,(B) An African American had no rights a white man was bound to respect.,"(C) The state of Georgia has no jurisdiction over the Cherokee, which is a separate nation.",(D) Interstate commerce is not within the jurisdiction of the states but of the federal government.,(E) Separate but equal facilities are inherently unconstitutional.,B
296,"Black Codes, passed in many Southern states in 1865 and 1866,",(A) helped freed men and women find employment and land after emancipation.,(B) were intended to re-create the plantation economy without slavery.,(C) were supported by Harriet Tubman and Frederick Douglass.,(D) were opposed by President Andrew Johnson.,(E) were declared unconstitutional by the Supreme Court.,B
297,"“Having behind us the producing masses of this nation and the world, supported by the commercial interests, the laboring interests, and the toilers everywhere, we will answer their [the wealthy classes’] demand for a gold standard by saying to them: You shall not press down upon the brow of labor this crown of thorns, you shall not crucify mankind upon a cross of gold.” In this 1896 speech, William Jennings Bryan is advocating",(A) government subsidies to farmers.,(B) free and unlimited coinage of silver.,(C) passage of higher protective tariffs.,(D) reduction of the workday to eight hours.,(E) the enactment of laws restricting immigration.,B
298,The Hay-Bunau-Varilla Treaty of 1903 is significant because it,(A) ended the Spanish-American War.,(B) paved the way for the Panama Canal project.,(C) established commonwealth status for Puerto Rico.,(D) added the Mexican Cession to U.S. territory.,(E) gave U.S. companies exclusive rights to the Guatemalan banana trade.,B
299,President Wilson’s unwillingness to compromise over the issue of the League of Nations resulted in,(A) a surge in popular support for his resolve.,(B) his loss of the presidency in the election of 1920.,(C) the rejection of the Treaty of Versailles by the European nations.,(D) the failure of the Senate to approve the Treaty of Versailles.,(E) an increase in power of the Democratic party.,D
300,"At the Yalta Conference of 1945, President Franklin D. Roosevelt was most worried about the views expressed by",(A) Joseph Stalin on Eastern Europe.,(B) Charles de Gaulle on Western Europe.,(C) Winston Churchill on the Irish question.,(D) Mao Zedong on Chinese relations with Japan.,(E) Kim Il Sung on the unification of Korea.,A
301,The United States became politically involved in Vietnam immediately after,(A) France was defeated by the Vietminh.,(B) China threatened Taiwan.,(C) Great Britain partitioned India.,(D) North Korea attacked South Korea.,(E) Japan relinquished its control over Vietnam following World War II.,A
302,"When Europeans arrived in the Americas in the 15th and 16th centuries, they found",(A) established societies that contained various forms of government.,"(B) scattered tribes of lawless, nomadic people.",(C) extensive trade being carried on in African slavery.,"(D) hostile, unwelcoming tribes.",(E) wild horses in abundance.,A
303,"Henry Clay, “The Great Compromiser,” was instrumental in engineering compromises that resulted in all of the following EXCEPT",(A) Missouri being admitted to the Union.,(B) Rutherford B. Hayes becoming president.,(C) resolution of the nullification crisis.,(D) California being admitted to the Union.,(E) Maine being admitted to the Union.,B
304,"“I consider the tariff as the occasion rather than as the cause of the unhappy state of things. The truth can no longer be disguised that the peculiar domestic institution of the southern states and the consequent direction which her soil and climate have given to her industry has placed them in regard to taxation and appropriation in opposite relation to the majority of the nation.” Which of the following statements are supported in the above quote from John C. Calhoun? I. The existence of slavery is the result of nature and geography. II. Sectionalism was based on slavery, not states’ rights. III. The tariff was the most important cause of sectional tensions. IV. The majority of the nation agreed with the Southern viewpoint on slavery.",(A) I and III,(B) II and IV,(C) I and II,(D) II and III,(E) III and IV,C
305,The Industrial Workers of the World was known for being,"(A) a company union, set up and funded by large corporations, to calm worker discontent.","(B) a craft union, which avoided unskilled workers in organizing drives.",(C) a Gilded Age union more ready to compromise than strike.,(D) the most militant and anticapitalist union of the late 1800s and early 1900s.,(E) a secret brotherhood responsible for the Haymarket Affair.,D
306,All of the following are reasons for the U.S. entry into World War I EXCEPT,(A) the sinking of the Lusitania.,(B) the interception of the Zimmerman Note.,(C) German violation of freedom of the seas.,(D) the desire to make “the world safe for democracy.”,(E) the American commitment to the Triple Alliance.,E
307,The Stimson Doctrine of 1932 called for,(A) an economic boycott of all German goods by the allied nations.,(B) a pledge by the allied nations to respect the territorial integrity of China.,(C) a cease-fire in China.,(D) a condemnation by the United States of Japan’s actions in Manchuria.,(E) a call for an end to Italy’s aggressive policies in Africa.,B
308,The Soviet Union responded to the formation of the North Atlantic Treaty Organization (NATO) by,(A) providing military assistance to the Southeast Asian Treaty Organization (SEATO).,(B) forming the Warsaw Pact.,(C) giving financial aid to Central Treaty Organization (CENTO).,(D) joining the Alliance for Progress.,(E) sending advisers to the Organization of American States (OAS).,B
309,"In the “Checkers speech,” Richard Nixon",(A) denied allegations that he had improperly received gifts during his 1952 bid for the vice-presidency.,(B) accused John F. Kennedy of being “soft on communism” during the 1960 campaign for president.,(C) announced his policy of “Vietnamization” of the Vietnam War in 1969.,(D) called for normalizing relations with China in 1972.,"(E) declared, in 1974, that he “was not a crook” in response to allegations of wrongdoing in connection with the Watergate scandal.",A
310,"Of the following ideas, which was NOT part of the Brown v. Board of Education of Topeka decision?",(A) Education is the most important function of local government.,(B) The original intent of the 14th Amendment was to end school segregation.,(C) The doctrine of “separate but equal” fosters feelings of inferiority in African American children.,(D) Schools should be integrated “with all deliberate speed.”,(E) Education is the basis of success in our society.,B
311,"In 1500, the civilizations of Mexico and Central America differed from the civilizations of the North American Plains Indians in that the Plains Indians","(A) were nomadic, while the civilizations of Mexico and Central America were more stable.","(B) lived in adobe houses, while the natives of Mexico and Central America lived in tents.","(C) were united, while the natives of Mexico and Central America were scattered.","(D) were ravaged by European diseases, while the inhabitants of Mexico and Central America were not.","(E) assimilated into European culture, while the inhabitants of Mexico and Central America did not.",A
312,Which of the following statements concerning the New England colonies in the 17th century is true?,(A) The New England colonies grew faster than the Southern colonies through natural reproduction.,(B) The New England colonies were more dependent on Great Britain than the Southern and Middle colonies.,(C) The New England colonies were open societies with a high tolerance for those who were different.,(D) The New England colonies had larger farms than the Middle and Southern colonies.,(E) The New England colonies lacked strong leadership.,A
313,Which of the following was NOT a presidential action of Andrew Jackson?,(A) He opposed the Nullification Ordinance of South Carolina.,(B) He advocated the removal of the Cherokees to territory west of the Mississippi River.,(C) He defeated the English in the Battle of New Orleans after the War of 1812 was over.,(D) He vetoed for the recharter of the Second Bank of the United States.,(E) He appointed government workers based on party loyalty.,C
314,"The mechanical reaper, invented by Cyrus McCormick in the 1830s, was most significant because it",(A) turned over the hard prairie soil.,(B) planted seeds four times as fast as a man could do by hand.,(C) aided irrigation of the arid Midwest.,(D) increased cotton production.,(E) cut wheat at a greater rate than the scythe.,E
315,"The phrase 'With malice toward none, with charity toward all' refers to Lincoln’s attitude toward","(A) Southern state legislatures, which had passed Black Codes.",(B) radical Republicans in the House of Representatives after Reconstruction.,(C) congressmen after they impeached Andrew Johnson.,(D) the rebellious South near the end of the Civil War.,"(E) Senators Stephen Douglas, John C. Breckenridge, and John Bell, who had run against him in 1860.",D
316,The social gospel is a term usually associated with the,(A) Second Great Awakening of the 1820s and 1830s.,(B) abolitionist movement of the 1840s and 1850s.,(C) urban reform movement of the 1890s and 1900s.,(D) fundamentalist Christian movement of the 1920s.,(E) political movement of the religious right during the 1980s.,C
317,Which of the following is the best description of the cartoon above?,(A) The Senate’s objection to U.S. membership in the League of Nations.,(B) The debate involving the membership of the United States in the United Nations.,(C) The marriage of Woodrow Wilson.,(D) The problems of establishing economic alliances.,(E) Wilson’s violation of the Constitution by his support of the League of Nations.,A
318,One reason President Franklin D. Roosevelt was not a strong advocate of civil rights for African Americans was that he,(A) believed that the separation of the races was in the best interests of all concerned.,(B) resented the fact that African Americans voted for the Republican Party in 1936.,(C) believed the role of the federal government in society should be minimal.,(D) believed that Progressive-era reformers had successfully addressed the problem of segregation.,(E) feared losing the support of the Southern Democrats in Congress.,E
319,Which of the following cases declared that prayer in the public school was unconstitutional?,(A) Brown v. Board of Education of Topeka,(B) Engel v. Vitale,(C) Baker v. Carr,(D) Miranda v. Arizona,(E) Roe v. Wade,B
320,"When Stokely Carmichael became the leader of the Student Non-Violent Coordinating Committee in 1966, its key slogan changed from",(A) 'Freedom Now' to 'Black Power.',(B) 'Self-Defense' to 'Pick up the Gun.',(C) 'We Shall Overcome' to 'Dare to Struggle Dare to Win.',(D) 'Tune In' to 'Drop Out.',(E) 'Back to Africa' to 'By Any Means Necessary.',A
321,Which of the following statements about 18th-century America is true?,"(A) By 1750, half of all American colonists lived in cities.","(B) By 1750, the New England colonists were exporting more than they were importing.","(C) After 1763, the colonists were prohibited from settling beyond the Appalachian Mountains.","(D) By 1750, slaves outnumbered whites in the colonies by two to one.","(E) By 1740, the colonists recognized Jonathan Edwards as a leader of the Old Lights.",C
322,The War Hawks demanded war against Britain in 1812 to,(A) eliminate the Native American threat in the Northwest.,(B) appease the New England states.,(C) assimilate the Native Americans into U.S. society.,(D) gain control of New Orleans.,(E) make the United States less dependent on imports.,A
323,"In explaining why the nullification of the 1828 Tariff of Abominations was justified, John C. Calhoun contended that","(A) the people had ratified the Constitution and, therefore, could decide on the constitutionality of a federal law.",(B) the states were sovereign because they had formed a compact called the Constitution.,(C) the Supreme Court had declared the Tariff of Abominations unconstitutional.,"(D) Congress was sovereign and could decide all major questions, including slavery.",(E) President Andrew Jackson had been elected by the whole people and agreed with his position.,B
324,"Moby-Dick by Herman Melville, representative of the American Renaissance of the 1840s, is significant in that it",(A) changed the attitude of the people of the United States toward the Native Americans.,(B) portrayed life in a utopian community.,(C) was an antislavery novel that galvanized Northern opinion against the Fugitive Slave Law.,(D) opposed the narrow Puritan point of view of 17th-century New England.,(E) used a predominately American occupation to explore man’s struggles with the natural world and good and evil.,E
325,"In the Plessy v. Ferguson decision of 1896, the Supreme Court",(A) declared that poll taxes and literacy tests were unconstitutional.,(B) declared that segregation of the races was acceptable.,(C) struck down many aspects of Congressional Reconstruction.,(D) ended segregation in public schools on the grounds that it was inherently unfair.,"(E) ruled that slaves were still considered property, even if they resided in a free state or territory.",B
326,"Jacob Riis’s book, How the Other Half Lives, was significant in that it",(A) drew the public’s attention to the harsh conditions slaves lived under in the 1850s.,(B) demonstrated the double standards applied to women in American society at the turn of the 20th century.,(C) criticized the lifestyles of the upper class in the 1920s.,(D) exposed the living conditions of the urban poor at the turn of the 20th century.,(E) chronicled the lives of poor immigrants from Asia and Africa in the 1960s.,D
327,"The American reaction to Germany’s announced intention of resuming unrestricted submarine warfare, violating the Sussex Pledge, was to",(A) implement the policy of appeasement.,(B) declare war on Germany.,(C) negotiate another treaty with Germany.,(D) send the Zimmermann Note to Germany.,(E) intern German immigrants in the United States.,B
328,Which of the following statements about American cities in the post–World War II period (1945–1970) is NOT true?,(A) 'White flight' led to a decline in property taxes and income taxes collected by municipal governments.,(B) Large numbers of African Americans moved from the rural South to the urban North.,(C) The Urban Renewal program was a huge success in eliminating slums and poverty in American cities.,(D) Black neighborhoods in many Northern cities experienced a series of riots in which the frustration of Black America was expressed.,(E) The development of shopping malls and highways had a detrimental effect on shopping districts in the centers of U.S. cities.,C
329,The primary goal of Martin Luther King Jr.’s Southern Christian Leadership Conference was to,(A) defend black neighborhoods against police brutality.,(B) challenge segregation in the Supreme Court.,(C) use nonviolent resistance to achieve desegregation.,(D) create equal racial representation in the Democratic Party.,(E) reinvigorate the back-to-Africa movement.,C
330,President Clinton was impeached by the House of Representatives because there was evidence that he had,(A) mishandled funds in the Whitewater land development scheme.,(B) used his influence to arrange for a job for Paula Jones.,(C) misused the White House for raising funds for his presidential campaign in 1996.,(D) conducted himself in a manner that demeaned the office of the presidency.,(E) committed perjury when testifying about the Monica Lewinsky affair.,E
331,All of the following statements represent ideas expressed in the Declaration of Independence EXCEPT,(A) governments derive their power to rule from the consent of the governed.,(B) people have the right to overthrow a government that does not fulfill the will of the people.,(C) people have the unalienable right to own property.,(D) all men are created equal.,(E) George III has committed egregious acts against the colonies.,C
332,"To gain Thomas Jefferson’s support for the assumption of state debts by the national government, Alexander Hamilton agreed to",(A) modify his financial program.,(B) the placement of the capital of the United States on the Potomac River.,(C) support Jefferson’s election in 1800.,(D) help negotiate a peace treaty with England.,(E) withdraw his support for excise taxes on goods made in the United States.,B
333,The concept of 'redemption' in the politics of the post–Civil War period refers to,(A) a religious awakening among Northerners in regard to the evils of racism.,(B) washing away the sins of the South’s illegal rebellion.,(C) the physical rebuilding of the infrastructure of the South following the Civil War.,(D) atoning for the fraternal violence of the Civil War.,(E) white Southerners retaking power in the South following Reconstruction.,E
